pairing,distance_nm,theta_deg,energy_per_area_J_m2,torque_per_area_J_m2_rad,anisotropic_energy_J_m2
spm,100.0,0.0,-1.0958812085436475e-08,3.575931148763614e-15,5.357689127745404e-16
spm,100.0,15.0,-1.095881302161306e-08,1.7906539151344007e-15,-4.004076727836828e-16
spm,100.0,30.0,-1.0958813023020672e-08,-1.782501729251613e-15,-4.018152843777031e-16
spm,100.0,45.0,-1.0958812088297339e-08,-2.3161057151484775e-23,5.329080490690216e-16
spm,100.0,60.0,-1.095881302302066e-08,1.7825017027818333e-15,-4.018152727971745e-16
spm,100.0,75.0,-1.0958813021613047e-08,-1.790653925060568e-15,-4.00407659548793e-16
spm,100.0,90.0,-1.0958812085436458e-08,-3.575931161402003e-15,5.357689293181526e-16
spm,150.0,0.0,-4.503246350148423e-09,3.161480205807786e-15,4.730933145114862e-16
spm,150.0,15.0,-4.503247177822006e-09,1.581193748189898e-15,-3.54580267908121e-16
spm,150.0,30.0,-4.503247178059534e-09,-1.579816087151497e-15,-3.5481779612973807e-16
spm,150.0,45.0,-4.503246350632238e-09,1.6543612251060553e-24,4.726094998799264e-16
spm,150.0,60.0,-4.503247178059535e-09,1.5798160854971358e-15,-3.548177969569187e-16
spm,150.0,75.0,-4.503247177822006e-09,-1.5811937514986204e-15,-3.54580267908121e-16
spm,150.0,90.0,-4.503246350148423e-09,-3.1614802058077867e-15,4.730933145114862e-16
spm,200.0,0.0,-2.4060774318610385e-09,2.3829343323337707e-15,3.5652916457470975e-16
spm,200.0,15.0,-2.406078055711788e-09,1.1916113177723446e-15,-2.6732158479584623e-16
spm,200.0,30.0,-2.4060780557872656e-09,-1.1911803012521034e-15,-2.6739706254519986e-16
spm,200.0,45.0,-2.406077432011241e-09,-2.481541837659083e-24,3.5637896222395023e-16
spm,200.0,60.0,-2.4060780557872648e-09,1.1911802962890197e-15,-2.6739706171801925e-16
spm,200.0,75.0,-2.4060780557117853e-09,-1.1916113185995252e-15,-2.673215823143044e-16
spm,200.0,90.0,-2.4060774318610372e-09,-2.3829343275943752e-15,3.5652916581548067e-16
